interaction_histogram,mse,interaction_spread,inter_cluster_interaction_similarity_USER:TOPIC,intra_cluster_interaction_similarity_USER:TOPIC,inter_cluster_rec_similarity_USER:TOPIC,intra_cluster_rec_similarity_USER:TOPIC,inter_cluster_interaction_similarity_USER:USER,intra_cluster_interaction_similarity_USER:USER,inter_cluster_rec_similarity_USER:USER,intra_cluster_rec_similarity_USER:USER,intra_user_to_topic_cluster_cos_sim,intra_user_cluster_cos_sim,user_cluster_avg_distance_from_centroid,timesteps,state,model
[6. 1. 1. ... 0. 0. 0.],0.16292687085423002,-0.5,0.007475886794847658,0.008182061753837523,0.0030912891046386984,0.003140624526142009,0.007738427721166577,0.008734945874017564,0.0031712547545086705,0.003083909791051969,"[[0.89240959]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.84072477]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.4767385 ]]","[[0.50041892]
 [0.76610507]
 [0.83158376]
 [0.        ]
 [1.02688453]
 [0.78909128]
 [0.90449969]
 [0.77348019]
 [1.02042663]
 [0.66345983]]","[[0.24474626]
 [0.96967628]
 [1.17474353]
 [5.51875004]
 [1.9247435 ]
 [0.96705054]
 [1.4385375 ]
 [0.82372456]
 [2.54903601]
 [0.4869164 ]]",10,train,myopic
[3. 0. 2. ... 0. 0. 0.],1.1279240728144837,22.5,0.008706239202375336,0.009424746346138518,0.014743039631966007,0.016243763919444185,0.00895104417826784,0.010021819146360106,0.01570998700905896,0.016785926194410026,"[[0.89967193]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.85432415]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.49800686]]","[[0.51890384]
 [0.77750552]
 [0.84286304]
 [0.        ]
 [1.0190024 ]
 [0.79000828]
 [0.8969116 ]
 [0.77995204]
 [1.00177086]
 [0.67915214]]","[[0.24373101]
 [0.98722793]
 [1.2101573 ]
 [5.87867388]
 [2.01615204]
 [0.99173499]
 [1.49713223]
 [0.84244188]
 [2.70619152]
 [0.4881154 ]]",11,run,myopic
[0. 0. 3. ... 0. 0. 0.],1.1750033479955364,-4.5,0.010524362983998153,0.010893301233107217,0.017245640857688666,0.017204155389724095,0.010507944366898439,0.011419766744829465,0.016946515786149755,0.017610602335528833,"[[0.91592178]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.86439802]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.51998666]]","[[0.53826628]
 [0.78885309]
 [0.84214363]
 [0.        ]
 [1.00522373]
 [0.79823324]
 [0.88483486]
 [0.79112719]
 [0.99070594]
 [0.69316822]]","[[0.24279945]
 [1.00522886]
 [1.24231291]
 [6.06421286]
 [2.12177307]
 [1.00722092]
 [1.56358862]
 [0.85776812]
 [2.84797178]
 [0.4896582 ]]",12,run,myopic
[2. 0. 1. ... 0. 0. 0.],1.2101838491942543,-6.5,0.011864422640289337,0.012469384931704417,0.017284389750194074,0.018555320691331065,0.012047354483935112,0.01300797644003523,0.018351249781098783,0.01863081613126095,"[[0.91414251]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.87496718]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.54260878]]","[[0.55869854]
 [0.7899754 ]
 [0.84243397]
 [0.        ]
 [1.00688164]
 [0.80293513]
 [0.88475301]
 [0.79757998]
 [0.98691961]
 [0.70834197]]","[[0.24190267]
 [1.02741747]
 [1.2762574 ]
 [6.28818746]
 [2.1980371 ]
 [1.02484992]
 [1.60694491]
 [0.87512806]
 [2.91652213]
 [0.49089598]]",13,run,myopic
[3. 0. 3. ... 0. 0. 0.],1.2336003664243846,-1.0,0.013407097357368034,0.014100164099860176,0.017893370600634662,0.01850418165767784,0.013757927157356437,0.014498650118573814,0.0182841612338689,0.018729129198291422,"[[0.92356226]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.88460144]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.56729925]]","[[0.58096791]
 [0.8052852 ]
 [0.8439999 ]
 [0.        ]
 [1.01499429]
 [0.80628235]
 [0.87998266]
 [0.80357056]
 [0.99588896]
 [0.72205632]]","[[0.2411066 ]
 [1.04090298]
 [1.30459608]
 [6.4204786 ]
 [2.25559685]
 [1.04820838]
 [1.66147353]
 [0.89778605]
 [2.97684298]
 [0.49430614]]",14,run,myopic
[0. 0. 6. ... 0. 0. 0.],1.25061929590937,-2.0,0.014868570237515531,0.015571769860145341,0.017721541116020614,0.01868674736583022,0.015227338988661783,0.01597173488307614,0.0183834502582414,0.01897354804997368,"[[0.92257994]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.89159276]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.59267379]]","[[0.60458839]
 [0.82112652]
 [0.84817848]
 [0.        ]
 [1.0106956 ]
 [0.81242836]
 [0.8929475 ]
 [0.81466048]
 [0.98655277]
 [0.73472255]]","[[0.2403715 ]
 [1.05017224]
 [1.33838933]
 [6.73959373]
 [2.31119413]
 [1.06421556]
 [1.68000017]
 [0.91525457]
 [3.06302863]
 [0.49788073]]",15,run,myopic
[0. 0. 2. ... 0. 0. 0.],1.261148262451991,2.5,0.016318937485063363,0.017112030849661907,0.017301379385428167,0.018780373778828956,0.016711403152675965,0.01758194868557211,0.01854746056763812,0.018861164216069322,"[[0.93544315]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.89793349]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.61748468]]","[[0.62869148]
 [0.82908588]
 [0.85104666]
 [0.        ]
 [1.00677887]
 [0.81210555]
 [0.91330296]
 [0.82115701]
 [0.98393496]
 [0.7482791 ]]","[[0.24002054]
 [1.0645244 ]
 [1.35824952]
 [6.82329371]
 [2.37712697]
 [1.08942132]
 [1.69290451]
 [0.92420599]
 [3.16128426]
 [0.50131018]]",16,run,myopic
[0. 0. 4. ... 0. 0. 0.],1.2672583164080273,-7.5,0.017746001458350723,0.01831942454632539,0.017779739548197976,0.019151502008983728,0.01791659409294421,0.01883427245699799,0.018914761698922616,0.019258482505651018,"[[0.940153  ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.90072259]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.64044718]]","[[0.65060451]
 [0.83699484]
 [0.8519272 ]
 [0.        ]
 [1.00853184]
 [0.8223667 ]
 [0.91334955]
 [0.83122028]
 [0.97738786]
 [0.75727597]]","[[0.23998005]
 [1.07940567]
 [1.3877987 ]
 [6.99497048]
 [2.40146445]
 [1.09725633]
 [1.73327812]
 [0.94205195]
 [3.23505991]
 [0.50661121]]",17,run,myopic
[1. 0. 1. ... 0. 0. 0.],1.2710942118088402,3.0,0.019014301127287317,0.01936775839052274,0.01848287217796458,0.018364867201202825,0.01899642231811811,0.01987545794391429,0.018293396707668375,0.018497747600026416,"[[0.94468007]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.90413552]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.66250149]]","[[0.67241971]
 [0.84023183]
 [0.85571794]
 [0.        ]
 [1.01373127]
 [0.82823614]
 [0.91232279]
 [0.83461377]
 [0.98824117]
 [0.76552526]]","[[0.23999927]
 [1.09800572]
 [1.41256628]
 [7.20923417]
 [2.43275909]
 [1.10698315]
 [1.76985571]
 [0.96318453]
 [3.28499151]
 [0.51287215]]",18,run,myopic
[1. 0. 2. ... 0. 0. 1.],1.274247761491227,-2.0,0.02000124586052713,0.020448036147329422,0.018875799885124455,0.018665869812827175,0.020090278528279604,0.0209170860726519,0.01851328596695795,0.018941619872331086,"[[0.95345085]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.90327835]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.68335208]]","[[0.6910964 ]
 [0.85373338]
 [0.85600902]
 [0.        ]
 [1.0261181 ]
 [0.84182278]
 [0.9098492 ]
 [0.83847767]
 [1.00211757]
 [0.77681921]]","[[0.24060652]
 [1.10010546]
 [1.43772408]
 [7.46931638]
 [2.49207855]
 [1.11808969]
 [1.81012631]
 [0.98286224]
 [3.32530279]
 [0.51915094]]",19,run,myopic
