,interaction_histogram,mse,cos_sim,timesteps,state,model
13,[0. 0. 0. ... 0. 0. 0.],65.0457521087606,"[[ 73.1058183  125.09834462 117.5627276  ...  66.29271231  99.41029653
   72.42732156]
 [164.28805212 130.53483973 162.80891755 ... 116.94099805 160.31006448
  128.04401088]
 [127.6898272   89.06858283 113.39907746 ...  95.2109022  153.79482996
   91.96079146]
 ...
 [103.37917411 119.20136554  83.05157616 ...  95.08931735 128.16485534
   38.9440742 ]
 [105.28181339  64.54521515 153.35520546 ... 112.43004933 101.69492437
  127.82443851]
 [ 93.29619606 129.85220839 139.65210733 ...  89.65456098  94.21196034
   95.57516299]]",13,run,cosine_sim2
14,[0. 0. 0. ... 0. 0. 0.],60.11871244327979,"[[121.92390317 165.48281799 145.24107765 ... 140.05541985  84.54622402
  140.23242302]
 [121.25601844  75.05070676  80.97129441 ...  61.89095472 150.60500436
   60.55767889]
 [123.75150509 130.97976656 177.23384051 ... 164.07661311 145.81233777
  142.26823592]
 ...
 [135.57455255  92.85758426 134.19975224 ... 154.1228786  127.17415509
  105.49244167]
 [ 53.97585991 110.19787355  67.18306123 ...  73.77569164  81.27389413
   77.46233229]
 [142.1030703  171.37029423 141.07832788 ... 162.09639036 130.56252723
  159.15267829]]",14,run,cosine_sim2
15,[0. 0. 0. ... 0. 0. 0.],51.93778832777491,"[[181.75452818 124.31536036 184.44257546 ... 208.87325579 144.39101787
  211.68501699]
 [116.99289291 133.96184385 125.42638753 ... 143.35921267 138.88628837
  130.64823522]
 [107.35433778 125.73591077 132.73369245 ... 111.28374611 137.14637666
  138.2500623 ]
 ...
 [138.37019964 108.08016021 167.5011434  ... 163.30008841 126.55396748
  153.09996411]
 [ 94.9191989  110.85223982 122.7771923  ... 102.59090223  86.86229243
  108.61801315]
 [153.05169202 179.79136958 161.41902518 ... 189.52763944 111.77330781
  190.53204212]]",15,run,cosine_sim2
16,[0. 0. 0. ... 0. 0. 0.],47.11268899593439,"[[114.86716697 129.37214203 108.25987661 ... 125.19341293 101.04313209
  122.35531489]
 [106.21142395 121.0555102   91.6583563  ... 111.86186464 141.1508318
  113.69840737]
 [117.90816249 136.25087289 113.29777157 ...  82.56110688 136.624999
   85.87221885]
 ...
 [ 78.93930676 135.81965273 104.87361835 ... 117.87873352  95.5639199
  127.19414509]
 [179.65654297 129.77179993 183.33168987 ... 155.43247048 170.39695156
  185.08588443]
 [115.10231986 139.72388811  95.6865891  ...  76.81113898 133.61766101
   91.3316602 ]]",16,run,cosine_sim2
17,[0. 0. 0. ... 0. 0. 0.],44.25661619992997,"[[104.18153056 105.4953618  132.60534579 ... 118.77213481 109.26651107
  120.03531989]
 [112.49161787  93.08971219  59.72434329 ...  84.14412659 127.56177208
  110.71799126]
 [108.49067968 118.66070969  86.77497058 ...  98.28502236 100.40411869
   80.09726909]
 ...
 [ 84.94226176 137.58001784 100.05023255 ... 112.12794522 103.81469972
  110.18675458]
 [ 85.80120776  97.01151725 110.0917085  ... 117.74202152 116.34378779
   97.23072222]
 [107.77812188  82.6104759   89.77682161 ... 101.31980563 128.74063705
  105.44427914]]",17,run,cosine_sim2
18,[0. 0. 0. ... 0. 0. 0.],38.59024581074362,"[[146.99157012  74.17731489 137.0486908  ... 156.68178629 131.54559063
  134.54084235]
 [109.06519829  94.04056559  88.86763467 ...  57.22992258 128.78635284
  100.28955948]
 [153.06638144 126.84521167 177.28648395 ... 121.45573815 121.71158611
  151.38674641]
 ...
 [137.39093624 125.13829418 118.80944836 ... 130.63214221 106.04098622
  147.7751432 ]
 [ 93.65366726  84.30065135  76.00885835 ...  81.00745443 116.25513937
   88.40234198]
 [148.36129905 121.13983259 119.7860335  ... 159.02888982 113.6099132
  163.75803655]]",18,run,cosine_sim2
19,[0. 0. 0. ... 0. 0. 0.],35.14839879260057,"[[146.20761287  88.66075408 117.19430578 ... 148.27176154 125.75949799
  133.25519046]
 [132.14754281 105.67246794 143.59828792 ... 140.93990607 123.71822866
  164.58031308]
 [ 75.32516767 118.2544824   95.91215842 ...  92.51933201  55.03232382
   91.1461021 ]
 ...
 [129.20051809 136.3159671   90.17638407 ... 108.23384767 138.79908592
  112.14849374]
 [136.79254388 105.32727734 129.5821329  ...  98.45558105 155.6657272
  125.81298097]
 [ 93.55361183 118.46843451  95.22352767 ... 135.50833114  68.57297896
  157.74577412]]",19,run,cosine_sim2
20,[0. 0. 0. ... 0. 0. 0.],32.7319209949766,"[[134.11324925  78.73089945 126.94645249 ...  79.86205334 106.20588246
   78.5982219 ]
 [ 87.62207267 128.046316   113.51349187 ... 143.00719705  66.99466778
  116.79947641]
 [ 87.3602029  108.00341461 106.45784821 ...  80.15259712  86.17407231
   65.60539353]
 ...
 [110.18103027 126.24234648  86.93722927 ... 110.12526915 123.79216888
  104.26624422]
 [150.31422584 105.25556351 157.10835605 ... 138.43125862 141.23845715
  162.47130823]
 [ 84.90552711 133.3764947  113.90880115 ... 127.2398301   79.29328559
  108.84021329]]",20,run,cosine_sim2
21,[0. 0. 0. ... 0. 0. 0.],28.910477786259225,"[[129.65031058 107.19133067 126.0912726  ... 102.29246555  99.95652292
  102.91620697]
 [ 84.8454318   84.54150998 106.87468873 ...  93.92317834  73.99731833
   80.83213211]
 [ 76.33953562 109.64972064 120.42584153 ... 117.18812602  80.06558042
  106.52727167]
 ...
 [106.05079845 109.74394108 143.70415007 ... 115.76627314  98.36828043
  116.22266573]
 [ 93.36993488 110.39839749 107.92876754 ...  91.31198966 106.71785077
   83.97310443]
 [132.05005297 121.38195968 122.94129403 ... 141.57546692 113.24929133
  161.26413203]]",21,run,cosine_sim2
22,[0. 0. 0. ... 0. 0. 0.],26.10974900584431,"[[ 96.82909999 123.62068382  97.2923381  ... 113.8810795   69.49666383
  105.68069574]
 [133.13017534 110.21281108 117.27336493 ... 148.26359254 103.9158107
  168.30004124]
 [ 81.61807391 101.44153927 110.23857683 ... 120.09796352  69.64486101
  122.7847313 ]
 ...
 [122.45591529 116.99945221 132.07121345 ... 122.54549258 115.55514062
  107.51283943]
 [100.02049773  76.20575274 144.97165734 ...  76.37744932  95.68981435
  101.87450048]
 [132.83692821 121.12426209 116.92172496 ...  96.81570394 113.63876557
  109.67271147]]",22,run,cosine_sim2
23,[0. 0. 0. ... 0. 0. 0.],24.045144789567424,"[[ 93.51782255 122.46980104  92.13320581 ...  84.93290742  99.01760658
   75.38794029]
 [106.91979248  88.49067939  71.65780467 ...  81.32817901 114.90743384
  115.53096677]
 [ 95.63614492 122.92011952 115.66371502 ... 111.82471521  88.77689941
  111.16250952]
 ...
 [102.26594745 108.90833951 100.82407025 ...  99.36723852  85.27414406
   76.52591623]
 [ 78.40808385 104.0324716  116.62505791 ...  98.47974978  69.69703443
  106.50801663]
 [126.25641627  75.52905615  90.16323356 ...  86.26811923 138.45522648
  106.09543088]]",23,run,cosine_sim2
24,[0. 0. 0. ... 0. 0. 0.],22.19887400968687,"[[117.47865099  87.10231325 121.02813561 ...  67.78605808 106.74050127
   80.87203365]
 [104.94750739  99.94897033  71.45911867 ...  84.1375053  115.39892231
  104.15279765]
 [ 93.87659265  84.22228162 101.53897217 ... 115.03254537  91.68155746
  127.53807976]
 ...
 [ 88.77177391 105.30281871 120.38011285 ...  96.68433865  82.19561473
   84.40011797]
 [ 79.27873141  63.17929394  90.11119123 ... 113.51176963  61.32913086
  110.65992867]
 [111.98378003  53.80053077  93.81122688 ... 105.05443496 126.22408023
  122.46395799]]",24,run,cosine_sim2
25,[0. 0. 0. ... 0. 0. 0.],19.89040323857875,"[[119.38331167  82.76201728  96.38429918 ...  96.56658668  93.01084442
  115.25793948]
 [101.72209529  95.60544589 142.05913391 ...  89.65642164  94.49733165
  128.26305336]
 [ 85.57898853 117.05637268 100.17985476 ... 118.90269029  69.69838368
  120.83256228]
 ...
 [120.08832619 113.7860509  106.78221515 ... 105.45342215  98.3000673
  113.13809345]
 [ 78.58979539  71.08270726  82.71984042 ... 106.09905277  88.24529179
  114.20294069]
 [123.18233171  48.76205976  81.20075063 ...  95.08707122 105.56009115
  126.68532646]]",25,run,cosine_sim2
