,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,cosine_sim
1,[6. 0. 1. ... 0. 0. 0.],0.0984756038994116,-939.0,1,train,cosine_sim
2,[1. 1. 1. ... 0. 0. 0.],0.1060198181423403,-0.5,2,train,cosine_sim
3,[2. 0. 2. ... 0. 0. 0.],0.1137269127777749,-0.5,3,train,cosine_sim
4,[2. 2. 3. ... 0. 0. 0.],0.1214676233174879,0.0,4,train,cosine_sim
5,[7. 0. 0. ... 0. 0. 0.],0.1290237793093909,0.5,5,train,cosine_sim
6,[1. 1. 0. ... 0. 0. 0.],0.1363527353615352,0.5,6,train,cosine_sim
7,[2. 1. 1. ... 0. 0. 0.],0.1433960167945615,1.5,7,train,cosine_sim
8,[4. 1. 1. ... 0. 0. 0.],0.1501649180699066,-1.5,8,train,cosine_sim
9,[2. 1. 0. ... 0. 0. 0.],0.1561438635617028,0.0,9,train,cosine_sim
10,[6. 1. 1. ... 0. 0. 0.],0.16292687085423,-0.5,10,train,cosine_sim
11,[1. 0. 0. ... 0. 0. 0.],0.1694797021282167,15.0,11,run,cosine_sim
12,[2. 0. 0. ... 0. 0. 0.],0.1699234075078614,5.0,12,run,cosine_sim
13,[0. 0. 0. ... 0. 0. 0.],0.1731120072839591,0.0,13,run,cosine_sim
14,[0. 0. 0. ... 0. 0. 0.],0.1769954744700702,-1.0,14,run,cosine_sim
15,[0. 0. 0. ... 0. 0. 0.],0.1808936154424571,-2.5,15,run,cosine_sim
16,[0. 0. 0. ... 0. 0. 0.],0.183905464125361,2.0,16,run,cosine_sim
17,[0. 0. 0. ... 0. 0. 0.],0.186579567209782,-2.5,17,run,cosine_sim
18,[1. 0. 0. ... 0. 0. 0.],0.189165717017076,-0.5,18,run,cosine_sim
19,[0. 0. 0. ... 0. 0. 0.],0.191269688317661,3.5,19,run,cosine_sim
20,[0. 0. 0. ... 0. 0. 0.],0.1926919482777908,-4.0,20,run,cosine_sim
21,[0. 0. 0. ... 0. 0. 0.],0.1944200347791037,1.5,21,run,cosine_sim
22,[0. 1. 0. ... 0. 0. 0.],0.1960280383739032,0.0,22,run,cosine_sim
23,[0. 0. 0. ... 0. 0. 0.],0.1967176091334712,1.0,23,run,cosine_sim
24,[0. 1. 0. ... 0. 0. 0.],0.197525427836714,-4.0,24,run,cosine_sim
25,[0. 0. 0. ... 0. 0. 0.],0.1982962051897689,2.0,25,run,cosine_sim
26,[0. 0. 0. ... 0. 0. 0.],0.1988693809966673,-4.0,26,run,cosine_sim
27,[0. 1. 0. ... 0. 0. 0.],0.1998642175284851,2.0,27,run,cosine_sim
28,[0. 0. 0. ... 0. 0. 0.],0.2003288244153689,-1.5,28,run,cosine_sim
29,[0. 0. 0. ... 0. 0. 0.],0.2004680972661515,-1.0,29,run,cosine_sim
30,[0. 0. 0. ... 0. 0. 0.],0.2008827400573153,0.0,30,run,cosine_sim
31,[0. 0. 0. ... 0. 0. 0.],0.2013709710688168,-0.5,31,run,cosine_sim
32,[0. 0. 0. ... 0. 0. 0.],0.2012523431633042,-1.5,32,run,cosine_sim
33,[0. 0. 0. ... 0. 0. 0.],0.2010111083591476,1.5,33,run,cosine_sim
34,[0. 0. 0. ... 0. 0. 0.],0.2005682809079906,-0.5,34,run,cosine_sim
35,[0. 0. 0. ... 0. 0. 0.],0.200154742344462,-1.5,35,run,cosine_sim
36,[0. 0. 0. ... 0. 0. 0.],0.1997219843747596,-0.5,36,run,cosine_sim
37,[0. 0. 0. ... 0. 0. 0.],0.1996328556831932,0.0,37,run,cosine_sim
38,[0. 0. 0. ... 0. 0. 0.],0.1994606112855348,1.5,38,run,cosine_sim
39,[0. 0. 0. ... 0. 0. 0.],0.1989788662728459,-0.5,39,run,cosine_sim
40,[0. 0. 0. ... 0. 0. 0.],0.1980615945814644,-3.0,40,run,cosine_sim
41,[0. 0. 0. ... 0. 0. 0.],0.1972196023905351,3.5,41,run,cosine_sim
42,[0. 0. 0. ... 0. 0. 0.],0.1963680124360328,2.0,42,run,cosine_sim
43,[0. 0. 0. ... 0. 0. 0.],0.1952823717768484,-5.0,43,run,cosine_sim
44,[0. 0. 0. ... 0. 0. 0.],0.1947833355527279,1.5,44,run,cosine_sim
45,[0. 0. 0. ... 0. 0. 0.],0.193782885123554,1.5,45,run,cosine_sim
46,[0. 0. 0. ... 0. 0. 0.],0.1923040620092776,-2.0,46,run,cosine_sim
47,[0. 0. 0. ... 0. 0. 0.],0.1909805601915128,-0.5,47,run,cosine_sim
48,[0. 0. 0. ... 0. 0. 0.],0.1902199990278195,4.5,48,run,cosine_sim
49,[0. 0. 0. ... 0. 0. 0.],0.1890447058783491,-3.5,49,run,cosine_sim
50,[0. 0. 0. ... 0. 0. 0.],0.1876879043031025,2.0,50,run,cosine_sim
51,[0. 0. 0. ... 0. 0. 0.],0.1862092182029896,-1.0,51,run,cosine_sim
52,[0. 0. 0. ... 0. 0. 0.],0.1846085589973583,0.0,52,run,cosine_sim
53,[0. 0. 0. ... 0. 0. 0.],0.1833115045683609,0.5,53,run,cosine_sim
54,[0. 0. 0. ... 0. 0. 0.],0.1818624096814356,-2.5,54,run,cosine_sim
55,[0. 0. 0. ... 0. 0. 0.],0.1799848976287006,1.0,55,run,cosine_sim
56,[0. 0. 0. ... 0. 0. 0.],0.1783759703067907,-2.0,56,run,cosine_sim
57,[0. 0. 0. ... 0. 0. 0.],0.1777160873870346,0.0,57,run,cosine_sim
58,[0. 0. 0. ... 0. 0. 0.],0.1765327318423668,4.5,58,run,cosine_sim
59,[0. 0. 0. ... 0. 0. 0.],0.175637213071348,-4.0,59,run,cosine_sim
60,[0. 0. 0. ... 0. 0. 0.],0.174063444235583,1.5,60,run,cosine_sim
61,[0. 0. 0. ... 0. 0. 0.],0.1726986295218167,0.5,61,run,cosine_sim
62,[0. 0. 0. ... 0. 0. 0.],0.170989535210463,-2.0,62,run,cosine_sim
63,[0. 0. 0. ... 0. 0. 0.],0.1690888989765366,0.0,63,run,cosine_sim
64,[0. 0. 0. ... 0. 0. 0.],0.1670489729819651,-0.5,64,run,cosine_sim
65,[0. 0. 0. ... 0. 0. 0.],0.1649402988729727,0.0,65,run,cosine_sim
66,[0. 0. 0. ... 0. 0. 0.],0.1631144418851406,0.0,66,run,cosine_sim
67,[0. 0. 0. ... 0. 0. 0.],0.161486369443696,-1.0,67,run,cosine_sim
68,[0. 0. 0. ... 0. 0. 0.],0.1595303438439113,1.5,68,run,cosine_sim
69,[0. 0. 0. ... 0. 0. 0.],0.1574604435338132,-2.0,69,run,cosine_sim
70,[0. 0. 0. ... 0. 0. 0.],0.1557804164411098,-0.5,70,run,cosine_sim
71,[0. 0. 0. ... 0. 0. 0.],0.1535870893519842,2.5,71,run,cosine_sim
72,[0. 0. 0. ... 0. 0. 0.],0.151354942786113,0.5,72,run,cosine_sim
73,[0. 0. 0. ... 0. 0. 0.],0.1491113936470576,-2.0,73,run,cosine_sim
74,[0. 0. 0. ... 0. 0. 0.],0.1467516471841612,4.0,74,run,cosine_sim
75,[0. 0. 0. ... 0. 0. 0.],0.144543182532018,-3.0,75,run,cosine_sim
76,[0. 0. 0. ... 0. 0. 0.],0.1423169768082144,-1.5,76,run,cosine_sim
77,[0. 0. 0. ... 0. 0. 0.],0.1400636990499216,0.0,77,run,cosine_sim
78,[0. 0. 0. ... 0. 0. 0.],0.1372695731826148,3.0,78,run,cosine_sim
79,[0. 0. 0. ... 0. 0. 0.],0.1356277256852388,-2.5,79,run,cosine_sim
80,[0. 0. 0. ... 0. 0. 0.],0.133475148609403,2.0,80,run,cosine_sim
81,[0. 0. 0. ... 0. 0. 0.],0.1313633453564142,-2.0,81,run,cosine_sim
82,[0. 0. 0. ... 0. 0. 0.],0.1291614209605327,5.5,82,run,cosine_sim
83,[0. 0. 0. ... 0. 0. 0.],0.1267049159229477,-5.0,83,run,cosine_sim
