,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,,,0,train,cosine_sim2
1,[6. 0. 1. ... 0. 0. 0.],,-939.0,1,train,cosine_sim2
2,[1. 2. 1. ... 0. 0. 0.],,-0.5,2,train,cosine_sim2
3,[2. 0. 2. ... 0. 0. 0.],,0.0,3,train,cosine_sim2
4,[2. 1. 3. ... 0. 0. 0.],,-0.5,4,train,cosine_sim2
5,[8. 0. 0. ... 0. 0. 0.],,1.0,5,train,cosine_sim2
6,[1. 1. 1. ... 0. 0. 0.],,-0.5,6,train,cosine_sim2
7,[2. 1. 1. ... 0. 0. 0.],,2.0,7,train,cosine_sim2
8,[4. 1. 1. ... 0. 0. 0.],,-1.5,8,train,cosine_sim2
9,[1. 1. 0. ... 0. 0. 0.],,0.0,9,train,cosine_sim2
10,[7. 1. 1. ... 0. 0. 0.],,-0.5,10,train,cosine_sim2
11,[1. 0. 0. ... 0. 0. 0.],0.18275653801613764,14.5,11,run,cosine_sim2
12,[1. 1. 0. ... 0. 0. 0.],0.18339468833298195,-2.0,12,run,cosine_sim2
13,[1. 0. 0. ... 0. 0. 0.],0.18230015622238102,-8.0,13,run,cosine_sim2
14,[0. 0. 0. ... 0. 0. 0.],0.1795402261953164,2.0,14,run,cosine_sim2
15,[0. 0. 0. ... 0. 0. 0.],0.17527048817298813,-2.5,15,run,cosine_sim2
16,[0. 0. 0. ... 0. 0. 0.],0.170519788872337,-1.0,16,run,cosine_sim2
17,[0. 1. 0. ... 0. 0. 0.],0.16433677752904616,0.0,17,run,cosine_sim2
18,[1. 0. 0. ... 0. 0. 0.],0.1580770126491008,0.0,18,run,cosine_sim2
19,[0. 1. 0. ... 0. 0. 0.],0.15173051531100293,1.0,19,run,cosine_sim2
20,[0. 0. 0. ... 0. 0. 0.],0.14665671794069293,-2.0,20,run,cosine_sim2
21,[1. 1. 0. ... 0. 0. 0.],0.14230389134520466,4.0,21,run,cosine_sim2
22,[0. 0. 0. ... 0. 0. 0.],0.1373241250596167,3.5,22,run,cosine_sim2
23,[0. 1. 0. ... 0. 0. 0.],0.13298922096552324,-3.0,23,run,cosine_sim2
24,[0. 0. 0. ... 0. 0. 0.],0.12966414946022137,-0.5,24,run,cosine_sim2
25,[0. 0. 0. ... 0. 0. 0.],0.12631040405027075,1.0,25,run,cosine_sim2
26,[0. 1. 0. ... 0. 0. 0.],0.12240713865118957,-0.5,26,run,cosine_sim2
27,[1. 0. 0. ... 0. 0. 0.],0.11948223442739794,-2.5,27,run,cosine_sim2
28,[0. 0. 0. ... 0. 0. 0.],0.11621731865051452,4.0,28,run,cosine_sim2
29,[0. 0. 0. ... 0. 0. 0.],0.11429894790149486,1.5,29,run,cosine_sim2
30,[0. 1. 0. ... 0. 0. 0.],0.11268265607308765,-3.0,30,run,cosine_sim2
31,[1. 1. 0. ... 0. 0. 0.],0.11050817098139375,2.0,31,run,cosine_sim2
32,[0. 0. 0. ... 0. 0. 0.],0.1086160900027964,-1.5,32,run,cosine_sim2
