,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,cosine_sim
1,[6. 0. 1. ... 0. 0. 0.],0.1326654843380055,-939.0,1,train,cosine_sim
2,[1. 2. 1. ... 0. 0. 0.],0.1509543609963864,-0.5,2,train,cosine_sim
3,[2. 0. 2. ... 0. 0. 0.],0.1600550943508167,0.0,3,train,cosine_sim
4,[1. 3. 3. ... 0. 0. 0.],0.1637179096740875,-0.5,4,train,cosine_sim
5,[6. 0. 1. ... 0. 0. 0.],0.1661480972926468,0.5,5,train,cosine_sim
6,[1. 1. 1. ... 0. 0. 0.],0.1683134001090792,0.5,6,train,cosine_sim
7,[2. 1. 1. ... 0. 0. 0.],0.1700814862418503,0.5,7,train,cosine_sim
8,[4. 2. 1. ... 0. 0. 0.],0.1697340701529061,-1.0,8,train,cosine_sim
9,[2. 0. 0. ... 0. 0. 0.],0.1695851444595839,0.0,9,train,cosine_sim
10,[3. 1. 0. ... 0. 0. 0.],0.1720672207277002,-0.5,10,train,cosine_sim
11,[0. 1. 0. ... 0. 0. 0.],0.1770323011547925,12.0,11,run,cosine_sim
12,[0. 0. 0. ... 0. 0. 0.],0.1649258166067543,3.0,12,run,cosine_sim
13,[0. 0. 0. ... 0. 0. 0.],0.1605244853032052,5.0,13,run,cosine_sim
14,[0. 0. 0. ... 0. 0. 0.],0.1536704571202116,-1.5,14,run,cosine_sim
15,[0. 0. 0. ... 0. 0. 0.],0.1530926182668371,1.0,15,run,cosine_sim
16,[0. 0. 0. ... 0. 0. 0.],0.1532820694256971,-0.5,16,run,cosine_sim
17,[0. 1. 0. ... 0. 0. 0.],0.1543309664444682,-2.0,17,run,cosine_sim
18,[0. 0. 0. ... 0. 0. 0.],0.1517701946872318,-1.0,18,run,cosine_sim
19,[0. 0. 0. ... 0. 0. 0.],0.1497498138324066,2.0,19,run,cosine_sim
20,[0. 1. 0. ... 0. 0. 0.],0.1476789981376764,-1.0,20,run,cosine_sim
21,[0. 0. 0. ... 0. 0. 0.],0.147236866712744,-2.0,21,run,cosine_sim
22,[0. 0. 0. ... 0. 0. 0.],0.1445327287731534,5.0,22,run,cosine_sim
23,[0. 0. 0. ... 0. 0. 0.],0.1448118575013214,-2.5,23,run,cosine_sim
24,[0. 0. 0. ... 0. 0. 0.],0.1466920124437914,-5.0,24,run,cosine_sim
25,[0. 0. 0. ... 0. 0. 0.],0.1461765211904483,2.0,25,run,cosine_sim
26,[0. 0. 0. ... 0. 0. 0.],0.1440183904742242,-2.5,26,run,cosine_sim
27,[0. 0. 0. ... 0. 0. 0.],0.1432593143344056,0.0,27,run,cosine_sim
28,[0. 0. 0. ... 0. 0. 0.],0.1430432512174326,1.0,28,run,cosine_sim
29,[0. 0. 0. ... 0. 0. 0.],0.1420410155855915,-1.0,29,run,cosine_sim
30,[0. 0. 0. ... 0. 0. 0.],0.1397570750004485,-3.0,30,run,cosine_sim
31,[0. 0. 0. ... 0. 0. 0.],0.1410903656549547,3.0,31,run,cosine_sim
32,[0. 0. 0. ... 0. 0. 0.],0.139986545440587,-2.5,32,run,cosine_sim
33,[0. 0. 0. ... 0. 0. 0.],0.1402088153704809,-0.5,33,run,cosine_sim
34,[0. 0. 0. ... 0. 0. 0.],0.1419080055026883,-0.5,34,run,cosine_sim
35,[0. 0. 0. ... 0. 0. 0.],0.1416223428036426,0.5,35,run,cosine_sim
36,[0. 0. 0. ... 0. 0. 0.],0.1423245809778159,-0.5,36,run,cosine_sim
37,[0. 0. 0. ... 0. 0. 0.],0.1412354483649645,-0.5,37,run,cosine_sim
38,[0. 0. 0. ... 0. 0. 0.],0.142337522142076,1.0,38,run,cosine_sim
39,[0. 0. 0. ... 0. 0. 0.],0.1396344505535504,-1.0,39,run,cosine_sim
40,[0. 0. 0. ... 0. 0. 0.],0.1386348937213558,2.0,40,run,cosine_sim
41,[0. 0. 0. ... 0. 0. 0.],0.1397624136383791,-2.0,41,run,cosine_sim
42,[0. 0. 0. ... 0. 0. 0.],0.1403237393305765,-1.0,42,run,cosine_sim
43,[0. 0. 0. ... 0. 0. 0.],0.1397819214118084,0.0,43,run,cosine_sim
44,[0. 0. 0. ... 0. 0. 0.],0.1379019978215231,1.5,44,run,cosine_sim
45,[0. 0. 0. ... 0. 0. 0.],0.1385194448891022,-1.0,45,run,cosine_sim
46,[0. 0. 0. ... 0. 0. 0.],0.1397322639336818,-0.5,46,run,cosine_sim
47,[0. 0. 0. ... 0. 0. 0.],0.1372899754293494,0.0,47,run,cosine_sim
48,[0. 0. 0. ... 0. 0. 0.],0.1347253572712811,-1.0,48,run,cosine_sim
49,[0. 0. 0. ... 0. 0. 0.],0.1335985576517485,1.0,49,run,cosine_sim
50,[0. 0. 0. ... 0. 0. 0.],0.133172325577893,3.5,50,run,cosine_sim
51,[0. 0. 0. ... 0. 0. 0.],0.1301075406007267,-4.0,51,run,cosine_sim
52,[0. 0. 0. ... 0. 0. 0.],0.1267912670661519,0.5,52,run,cosine_sim
