,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,cosine_sim
1,[6. 0. 1. ... 0. 0. 0.],0.1075653044762203,-939.0,1,train,cosine_sim
2,[1. 2. 1. ... 0. 0. 0.],0.1222999420569441,-0.5,2,train,cosine_sim
3,[2. 0. 2. ... 0. 0. 0.],0.1359189212651359,0.0,3,train,cosine_sim
4,[2. 1. 3. ... 0. 0. 0.],0.1482018797024669,-0.5,4,train,cosine_sim
5,[8. 0. 0. ... 0. 0. 0.],0.1589796996483823,1.0,5,train,cosine_sim
6,[1. 1. 1. ... 0. 0. 0.],0.1683400566170234,-0.5,6,train,cosine_sim
7,[2. 1. 1. ... 0. 0. 0.],0.1764510099460656,2.0,7,train,cosine_sim
8,[4. 1. 1. ... 0. 0. 0.],0.1828218065021881,-1.5,8,train,cosine_sim
9,[1. 1. 0. ... 0. 0. 0.],0.187501601082394,0.0,9,train,cosine_sim
10,[7. 1. 1. ... 0. 0. 0.],0.1931511870387256,-0.5,10,train,cosine_sim
11,[1. 0. 0. ... 0. 0. 0.],0.2014365044314006,14.5,11,run,cosine_sim
12,[1. 1. 0. ... 0. 0. 0.],0.2011845309322835,-2.0,12,run,cosine_sim
13,[1. 0. 0. ... 0. 0. 0.],0.1992596171814482,-8.0,13,run,cosine_sim
14,[0. 0. 0. ... 0. 0. 0.],0.1955891068213923,2.0,14,run,cosine_sim
15,[0. 0. 0. ... 0. 0. 0.],0.1907110635488899,-2.5,15,run,cosine_sim
16,[0. 0. 0. ... 0. 0. 0.],0.1855183118257523,-1.0,16,run,cosine_sim
17,[0. 1. 0. ... 0. 0. 0.],0.1790227607705401,0.0,17,run,cosine_sim
18,[1. 0. 0. ... 0. 0. 0.],0.1724264071492439,0.0,18,run,cosine_sim
19,[0. 1. 0. ... 0. 0. 0.],0.1658677658652488,1.0,19,run,cosine_sim
20,[0. 0. 0. ... 0. 0. 0.],0.1607372823617602,-2.0,20,run,cosine_sim
21,[1. 1. 0. ... 0. 0. 0.],0.1564138210255749,4.0,21,run,cosine_sim
22,[0. 0. 0. ... 0. 0. 0.],0.1515693009696021,3.5,22,run,cosine_sim
23,[0. 1. 0. ... 0. 0. 0.],0.1473703364166828,-3.0,23,run,cosine_sim
24,[0. 0. 0. ... 0. 0. 0.],0.1443034268235993,-0.5,24,run,cosine_sim
25,[0. 0. 0. ... 0. 0. 0.],0.1411671070057825,1.0,25,run,cosine_sim
26,[0. 1. 0. ... 0. 0. 0.],0.1375375654882009,-0.5,26,run,cosine_sim
27,[1. 0. 0. ... 0. 0. 0.],0.1348152109973353,-2.5,27,run,cosine_sim
28,[0. 0. 0. ... 0. 0. 0.],0.1318577351904774,4.0,28,run,cosine_sim
29,[0. 0. 0. ... 0. 0. 0.],0.1300943636240129,1.5,29,run,cosine_sim
