,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,myopic
1,[6. 0. 1. ... 0. 0. 0.],0.1075653044762203,-939.0,1,train,myopic
2,[1. 2. 1. ... 0. 0. 0.],0.1222999420569441,-0.5,2,train,myopic
3,[2. 0. 2. ... 0. 0. 0.],0.1359189212651359,0.0,3,train,myopic
4,[2. 1. 3. ... 0. 0. 0.],0.1482018797024669,-0.5,4,train,myopic
5,[8. 0. 0. ... 0. 0. 0.],0.1589796996483823,1.0,5,train,myopic
6,[1. 1. 1. ... 0. 0. 0.],0.1683400566170234,-0.5,6,train,myopic
7,[2. 1. 1. ... 0. 0. 0.],0.1764510099460656,2.0,7,train,myopic
8,[4. 1. 1. ... 0. 0. 0.],0.1828218065021881,-1.5,8,train,myopic
9,[1. 1. 0. ... 0. 0. 0.],0.187501601082394,0.0,9,train,myopic
10,[7. 1. 1. ... 0. 0. 0.],0.1931511870387256,-0.5,10,train,myopic
11,[2. 1. 2. ... 0. 0. 0.],1.0336256449806334,20.5,11,run,myopic
12,[1. 0. 1. ... 0. 0. 0.],1.0239795216023742,-3.5,12,run,myopic
13,[1. 1. 3. ... 0. 0. 0.],1.0134123840903797,-4.5,13,run,myopic
14,[1. 0. 2. ... 0. 0. 0.],1.0036376413139263,-2.0,14,run,myopic
15,[1. 0. 2. ... 0. 0. 0.],0.9928881305283516,-5.0,15,run,myopic
16,[3. 0. 1. ... 0. 0. 0.],0.9829680895196048,3.5,16,run,myopic
17,[0. 0. 3. ... 0. 0. 0.],0.9746326044486702,-5.5,17,run,myopic
18,[0. 0. 2. ... 0. 0. 0.],0.967167556127141,2.5,18,run,myopic
19,[0. 1. 3. ... 0. 0. 2.],0.9604501112355583,-3.0,19,run,myopic
20,[0. 0. 2. ... 2. 0. 0.],0.9549788578256688,1.5,20,run,myopic
21,[0. 0. 0. ... 1. 0. 2.],0.9511943697440876,-1.0,21,run,myopic
22,[1. 0. 3. ... 2. 0. 1.],0.9498291316795212,3.5,22,run,myopic
23,[1. 0. 1. ... 0. 0. 1.],0.9493511104961136,-3.0,23,run,myopic
24,[0. 0. 1. ... 1. 0. 2.],0.949676528928709,0.0,24,run,myopic
25,[0. 0. 2. ... 0. 0. 3.],0.9511896275139544,0.5,25,run,myopic
26,[1. 0. 1. ... 0. 0. 5.],0.9524716291645444,1.5,26,run,myopic
27,[0. 0. 2. ... 0. 0. 3.],0.9542372545605884,0.5,27,run,myopic
28,[0. 0. 1. ... 0. 0. 3.],0.9560275343952708,-2.0,28,run,myopic
29,[2. 0. 0. ... 1. 1. 0.],0.957564469062196,0.0,29,run,myopic
30,[0. 0. 2. ... 1. 1. 3.],0.959466827445236,-0.5,30,run,myopic
31,[2. 0. 0. ... 1. 0. 3.],0.9614699055337028,2.0,31,run,myopic
32,[0. 0. 0. ... 1. 0. 1.],0.9626870249837396,-3.0,32,run,myopic
33,[0. 0. 3. ... 1. 0. 4.],0.9637034670784876,0.5,33,run,myopic
34,[0. 0. 0. ... 1. 0. 1.],0.964696751361988,1.0,34,run,myopic
35,[1. 0. 3. ... 2. 0. 3.],0.9657419786378456,2.0,35,run,myopic
36,[0. 0. 0. ... 1. 0. 4.],0.9661930236393556,-3.5,36,run,myopic
37,[2. 0. 3. ... 1. 1. 5.],0.9672036855535572,3.0,37,run,myopic
38,[0. 0. 1. ... 2. 0. 2.],0.9679897558497552,0.0,38,run,myopic
39,[1. 1. 1. ... 2. 0. 0.],0.9693241734164952,0.0,39,run,myopic
