,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,myopic
1,[6. 0. 1. ... 0. 0. 0.],0.0941484674923332,-939.0,1,train,myopic
2,[1. 1. 1. ... 0. 0. 0.],0.0978600168215575,-1.0,2,train,myopic
3,[1. 0. 2. ... 0. 0. 0.],0.1017074740977896,0.0,3,train,myopic
4,[2. 2. 3. ... 0. 0. 0.],0.1056320539575702,0.0,4,train,myopic
5,[7. 0. 0. ... 0. 0. 0.],0.1095024420336912,0.5,5,train,myopic
6,[1. 1. 0. ... 0. 0. 0.],0.1136165494987933,0.5,6,train,myopic
7,[2. 0. 1. ... 0. 0. 0.],0.1175626189446075,1.0,7,train,myopic
8,[4. 1. 2. ... 0. 0. 0.],0.1215515704205211,-0.5,8,train,myopic
9,[2. 1. 0. ... 0. 0. 0.],0.1253964466155432,0.0,9,train,myopic
10,[6. 1. 2. ... 0. 0. 0.],0.129583527132739,-1.0,10,train,myopic
11,[2. 0. 1. ... 0. 0. 0.],1.161216023923089,23.0,11,run,myopic
12,[2. 1. 6. ... 0. 0. 0.],1.2142658506410722,-5.5,12,run,myopic
13,[1. 0. 2. ... 0. 0. 0.],1.2559456266262166,-2.0,13,run,myopic
14,[2. 0. 3. ... 0. 0. 0.],1.2839081403214536,-8.5,14,run,myopic
15,[1. 0. 4. ... 0. 0. 0.],1.3048218389842965,4.0,15,run,myopic
16,[0. 0. 0. ... 0. 0. 0.],1.3203176343475624,-4.0,16,run,myopic
17,[0. 0. 3. ... 0. 0. 0.],1.3305684869928842,-2.5,17,run,myopic
18,[1. 1. 1. ... 1. 0. 0.],1.3375978672365547,1.5,18,run,myopic
19,[0. 0. 8. ... 0. 0. 1.],1.342679628659066,-2.0,19,run,myopic
20,[0. 0. 3. ... 1. 0. 1.],1.3462434235340075,4.5,20,run,myopic
21,[0. 0. 2. ... 0. 0. 4.],1.3490668810464417,-3.0,21,run,myopic
22,[0. 0. 1. ... 1. 1. 1.],1.350757395062148,0.5,22,run,myopic
23,[0. 0. 1. ... 0. 1. 3.],1.3519552531252446,0.0,23,run,myopic
24,[0. 0. 0. ... 0. 0. 4.],1.3525583296674428,0.0,24,run,myopic
25,[1. 0. 2. ... 0. 0. 3.],1.35271099236464,2.0,25,run,myopic
26,[0. 0. 0. ... 1. 0. 5.],1.3526278457192091,-3.0,26,run,myopic
27,[0. 0. 0. ... 0. 0. 1.],1.3522188825246615,1.5,27,run,myopic
28,[0. 0. 1. ... 0. 0. 2.],1.351464198498453,-1.0,28,run,myopic
29,[0. 0. 1. ... 0. 1. 2.],1.3504606174182467,1.5,29,run,myopic
30,[0. 0. 0. ... 0. 0. 3.],1.349617712579622,-1.5,30,run,myopic
31,[0. 0. 2. ... 0. 0. 1.],1.3485007201961332,-1.0,31,run,myopic
32,[0. 0. 1. ... 0. 1. 3.],1.3476389915828368,1.0,32,run,myopic
33,[1. 0. 1. ... 0. 0. 1.],1.3469741547452043,0.0,33,run,myopic
34,[0. 0. 3. ... 2. 0. 1.],1.3461128183733837,-0.5,34,run,myopic
35,[0. 0. 2. ... 0. 0. 4.],1.3453115081799891,3.5,35,run,myopic
36,[0. 0. 2. ... 1. 0. 1.],1.3446071689231989,-3.5,36,run,myopic
37,[0. 0. 2. ... 0. 0. 2.],1.3437787808045405,2.0,37,run,myopic
38,[0. 0. 3. ... 0. 0. 3.],1.3429722215401318,0.5,38,run,myopic
39,[0. 0. 0. ... 0. 0. 2.],1.342434688032484,-3.0,39,run,myopic
40,[2. 0. 2. ... 1. 0. 2.],1.3416363915566536,-1.0,40,run,myopic
41,[1. 0. 3. ... 0. 0. 2.],1.3409394140882214,1.5,41,run,myopic
42,[0. 0. 1. ... 1. 0. 3.],1.3403632071097769,-1.0,42,run,myopic
43,[1. 0. 0. ... 1. 0. 2.],1.3398064621086274,1.0,43,run,myopic
44,[0. 0. 0. ... 2. 0. 1.],1.3393626688236822,1.0,44,run,myopic
45,[1. 0. 1. ... 1. 0. 5.],1.338882259718608,-0.5,45,run,myopic
46,[0. 0. 2. ... 0. 0. 2.],1.338505465358577,-0.5,46,run,myopic
47,[0. 0. 1. ... 0. 0. 3.],1.33809673505364,0.5,47,run,myopic
48,[0. 0. 0. ... 1. 0. 0.],1.3377634872970408,2.0,48,run,myopic
49,[0. 0. 0. ... 1. 0. 0.],1.3375421289884537,-3.5,49,run,myopic
50,[0. 0. 0. ... 0. 0. 2.],1.3376122594861848,-1.0,50,run,myopic
51,[1. 0. 0. ... 1. 0. 2.],1.337565583850843,2.0,51,run,myopic
52,[2. 0. 2. ... 0. 1. 0.],1.3375439302067078,1.0,52,run,myopic
53,[0. 0. 0. ... 0. 0. 3.],1.3377494079078631,-1.0,53,run,myopic
54,[0. 0. 3. ... 2. 1. 5.],1.3376039088325535,1.5,54,run,myopic
55,[0. 0. 1. ... 0. 0. 4.],1.3375808418361237,-2.0,55,run,myopic
56,[0. 0. 1. ... 2. 0. 1.],1.3376236859856347,0.5,56,run,myopic
57,[0. 0. 3. ... 0. 0. 1.],1.3374609334338146,-0.5,57,run,myopic
58,[0. 0. 1. ... 1. 0. 1.],1.3373734214418762,-0.5,58,run,myopic
59,[0. 0. 1. ... 1. 0. 1.],1.3374026894581257,0.5,59,run,myopic
60,[0. 1. 1. ... 0. 0. 4.],1.3376833048462793,0.5,60,run,myopic
61,[0. 0. 2. ... 0. 1. 3.],1.3378421231519566,0.0,61,run,myopic
62,[1. 0. 3. ... 1. 0. 4.],1.33788100911819,2.5,62,run,myopic
63,[0. 0. 1. ... 0. 0. 0.],1.3381694861526852,0.5,63,run,myopic
64,[0. 0. 1. ... 0. 0. 2.],1.3382199664904029,-1.5,64,run,myopic
65,[2. 0. 3. ... 1. 0. 5.],1.3384021895522706,0.0,65,run,myopic
66,[1. 0. 1. ... 1. 0. 0.],1.3386281872076995,0.5,66,run,myopic
67,[0. 0. 1. ... 0. 0. 0.],1.3389790614784849,-1.5,67,run,myopic
68,[1. 0. 0. ... 0. 0. 3.],1.3393571299298082,-1.0,68,run,myopic
69,[1. 0. 0. ... 0. 0. 2.],1.3397346535868817,1.5,69,run,myopic
70,[0. 0. 1. ... 0. 0. 2.],1.3399165068427947,-1.0,70,run,myopic
71,[0. 0. 0. ... 1. 0. 2.],1.3402767811639795,-2.5,71,run,myopic
72,[1. 0. 3. ... 0. 0. 0.],1.3406585464362712,1.0,72,run,myopic
73,[0. 0. 3. ... 1. 0. 6.],1.340821094713338,1.0,73,run,myopic
74,[1. 0. 1. ... 0. 1. 2.],1.3412308564869462,1.0,74,run,myopic
75,[0. 0. 4. ... 0. 1. 0.],1.3413734733258975,2.5,75,run,myopic
76,[0. 0. 2. ... 2. 0. 1.],1.3414713522108117,-5.0,76,run,myopic
77,[0. 1. 2. ... 0. 0. 0.],1.3417447603594583,3.5,77,run,myopic
78,[1. 0. 1. ... 0. 0. 1.],1.3420431281381473,-3.0,78,run,myopic
79,[1. 0. 1. ... 0. 1. 2.],1.34225643530202,1.5,79,run,myopic
80,[0. 0. 1. ... 2. 0. 2.],1.342570207981302,0.0,80,run,myopic
81,[2. 0. 5. ... 1. 0. 3.],1.3427732034860502,-0.5,81,run,myopic
82,[0. 0. 2. ... 1. 1. 0.],1.343199184133597,0.0,82,run,myopic
83,[0. 0. 2. ... 0. 0. 2.],1.3434316896901963,-0.5,83,run,myopic
84,[1. 0. 2. ... 0. 0. 1.],1.343677861122767,4.0,84,run,myopic
85,[0. 0. 0. ... 0. 0. 3.],1.343928999394655,-2.0,85,run,myopic
86,[0. 0. 4. ... 0. 0. 1.],1.3440442981553398,0.0,86,run,myopic
87,[0. 0. 3. ... 2. 0. 2.],1.3443565391922274,-2.5,87,run,myopic
88,[0. 0. 3. ... 1. 0. 1.],1.3445717047136116,2.5,88,run,myopic
89,[0. 0. 2. ... 1. 0. 1.],1.344857088759612,0.0,89,run,myopic
90,[0. 0. 0. ... 0. 0. 3.],1.3451657239172916,-2.5,90,run,myopic
91,[1. 0. 1. ... 0. 0. 2.],1.3452726832029174,2.5,91,run,myopic
92,[0. 0. 1. ... 2. 0. 2.],1.3452071592657715,-2.5,92,run,myopic
93,[1. 0. 2. ... 0. 0. 1.],1.3452920134473605,2.0,93,run,myopic
94,[0. 0. 0. ... 0. 0. 2.],1.3456182108147197,-1.5,94,run,myopic
95,[1. 0. 0. ... 0. 0. 5.],1.346032154265952,1.5,95,run,myopic
96,[0. 0. 2. ... 0. 1. 3.],1.346286677011233,1.0,96,run,myopic
97,[0. 0. 5. ... 0. 0. 4.],1.3463610058673112,-2.5,97,run,myopic
98,[0. 0. 3. ... 0. 0. 4.],1.3465794351912923,1.0,98,run,myopic
99,[0. 0. 0. ... 1. 0. 1.],1.346743247879783,0.0,99,run,myopic
100,[0. 0. 1. ... 0. 0. 2.],1.347005523769665,-0.5,100,run,myopic
101,[0. 0. 5. ... 0. 0. 2.],1.347274863685518,0.0,101,run,myopic
102,[1. 0. 1. ... 0. 0. 0.],1.347406408976194,-1.0,102,run,myopic
103,[1. 0. 3. ... 0. 0. 2.],1.3473366281295682,1.0,103,run,myopic
104,[0. 0. 2. ... 0. 0. 5.],1.3475424039485495,-0.5,104,run,myopic
105,[0. 0. 2. ... 0. 0. 1.],1.3478102077897922,2.0,105,run,myopic
106,[0. 0. 3. ... 2. 0. 0.],1.3477478074892395,1.5,106,run,myopic
107,[1. 0. 1. ... 0. 0. 2.],1.3478048630826476,-3.5,107,run,myopic
108,[0. 0. 3. ... 1. 0. 3.],1.3478815608125303,3.0,108,run,myopic
109,[0. 1. 2. ... 0. 0. 3.],1.3482669750447347,-4.0,109,run,myopic
110,[1. 0. 4. ... 1. 0. 1.],1.3485561710012182,0.5,110,run,myopic
