,interaction_histogram,mse,interaction_spread,timesteps,state,model
0,,0.0900647209901283,,0,train,myopic
1,[6. 0. 1. ... 0. 0. 0.],0.1326654843380055,-939.0,1,train,myopic
2,[1. 2. 1. ... 0. 0. 0.],0.1509543609963864,-0.5,2,train,myopic
3,[2. 0. 2. ... 0. 0. 0.],0.1600550943508167,0.0,3,train,myopic
4,[1. 3. 3. ... 0. 0. 0.],0.1637179096740875,-0.5,4,train,myopic
5,[6. 0. 1. ... 0. 0. 0.],0.1661480972926468,0.5,5,train,myopic
6,[1. 1. 1. ... 0. 0. 0.],0.1683134001090792,0.5,6,train,myopic
7,[2. 1. 1. ... 0. 0. 0.],0.1700814862418503,0.5,7,train,myopic
8,[4. 2. 1. ... 0. 0. 0.],0.1697340701529061,-1.0,8,train,myopic
9,[2. 0. 0. ... 0. 0. 0.],0.1695851444595839,0.0,9,train,myopic
10,[3. 1. 0. ... 0. 0. 0.],0.1720672207277002,-0.5,10,train,myopic
11,[1. 0. 0. ... 0. 0. 0.],1.1549442907582652,17.5,11,run,myopic
12,[3. 2. 2. ... 0. 0. 0.],1.201174465233615,2.5,12,run,myopic
13,[4. 0. 1. ... 0. 0. 0.],1.2367134451810429,0.0,13,run,myopic
14,[0. 1. 1. ... 0. 0. 0.],1.2650796131612858,-5.0,14,run,myopic
15,[3. 0. 8. ... 0. 0. 0.],1.2862525654679386,-7.5,15,run,myopic
16,[0. 1. 4. ... 0. 0. 0.],1.304376184960721,1.0,16,run,myopic
17,[1. 0. 0. ... 0. 0. 0.],1.32228863695604,-2.0,17,run,myopic
18,[1. 1. 0. ... 0. 0. 0.],1.3348912638132329,0.0,18,run,myopic
19,[0. 0. 0. ... 2. 0. 1.],1.3446489952405882,2.0,19,run,myopic
20,[1. 1. 0. ... 1. 0. 1.],1.3613017839810295,-1.5,20,run,myopic
21,[0. 0. 0. ... 1. 0. 5.],1.37329050462949,1.5,21,run,myopic
22,[1. 0. 2. ... 2. 0. 2.],1.3840723125454626,-3.5,22,run,myopic
23,[1. 0. 2. ... 2. 0. 2.],1.3931118528080588,0.0,23,run,myopic
24,[0. 0. 1. ... 1. 2. 3.],1.4007122045479294,-1.0,24,run,myopic
25,[0. 1. 1. ... 1. 0. 2.],1.4077262594890738,4.0,25,run,myopic
26,[1. 0. 0. ... 1. 1. 3.],1.4111575754643957,-3.5,26,run,myopic
27,[0. 0. 2. ... 5. 0. 2.],1.418405330569453,3.5,27,run,myopic
28,[0. 0. 1. ... 2. 0. 1.],1.4228888319344248,-2.5,28,run,myopic
